=== MIXED_WORKLOAD_RESULTS ===
Workload,Mode,Threads,Duration_sec,Throughput,Speedup,Efficiency
mixed,LOCK_BASED,1,0.00368,272050.29,250.222,25022.22
mixed,STATIC,1,0.91976,1087.23,1.000,100.00
mixed,DYNAMIC,1,0.92007,1086.87,1.000,99.97
mixed,GUIDED,1,0.91991,1087.06,1.000,99.98
mixed,HETEROGENEOUS,1,0.91989,1087.09,1.000,99.99
mixed,LOCK_BASED,2,0.00198,504647.76,464.157,23207.85
mixed,STATIC,2,0.45785,2184.11,2.009,100.44
mixed,DYNAMIC,2,0.46139,2167.36,1.993,99.67
mixed,GUIDED,2,0.46141,2167.25,1.993,99.67
mixed,HETEROGENEOUS,2,0.46139,2167.38,1.993,99.67
mixed,LOCK_BASED,4,0.00106,947187.61,871.190,21779.74
mixed,STATIC,4,0.22937,4359.85,4.010,100.25
mixed,DYNAMIC,4,0.22943,4358.69,4.009,100.22
mixed,GUIDED,4,0.22956,4356.19,4.007,100.17
mixed,HETEROGENEOUS,4,0.22966,4354.25,4.005,100.12
mixed,LOCK_BASED,8,0.00067,1497649.18,1377.485,17218.56
mixed,STATIC,8,0.11609,8613.66,7.923,99.03
mixed,DYNAMIC,8,0.11609,8613.82,7.923,99.03
mixed,GUIDED,8,0.11618,8607.60,7.917,98.96
mixed,HETEROGENEOUS,8,0.11612,8612.11,7.921,99.01
mixed,LOCK_BASED,12,0.00055,1827057.89,1680.463,14003.86
mixed,STATIC,12,0.07747,12908.95,11.873,98.94
mixed,DYNAMIC,12,0.07750,12902.86,11.868,98.90
mixed,GUIDED,12,0.07739,12921.03,11.884,99.04
mixed,HETEROGENEOUS,12,0.07749,12905.14,11.870,98.91
mixed,LOCK_BASED,16,0.00075,1341662.42,1234.013,7712.58
mixed,STATIC,16,0.05822,17177.16,15.799,98.74
mixed,DYNAMIC,16,0.05818,17188.15,15.809,98.81
mixed,GUIDED,16,0.05815,17197.46,15.818,98.86
mixed,HETEROGENEOUS,16,0.05819,17185.31,15.806,98.79
=== PER_THREAD_FAIRNESS ===
Mode,Threads,MinTasks,MaxTasks,MeanTasks,SD_Tasks,Fairness
LOCK_BASED,1,1000,1000,1000.00,0.00,100.00
LOCK_BASED,2,500,500,500.00,0.00,100.00
LOCK_BASED,4,250,250,250.00,0.00,100.00
LOCK_BASED,8,125,125,125.00,0.00,100.00
LOCK_BASED,12,83,84,83.33,0.47,99.60
LOCK_BASED,16,62,63,62.50,0.50,99.20
STATIC,1,1000,1000,1000.00,0.00,100.00
STATIC,2,499,501,500.00,1.00,99.80
STATIC,4,245,256,250.00,4.06,98.00
STATIC,8,123,128,125.00,1.73,98.40
STATIC,12,78,96,83.33,4.59,93.60
STATIC,16,57,70,62.50,3.84,91.20
DYNAMIC,1,1000,1000,1000.00,0.00,100.00
DYNAMIC,2,500,500,500.00,0.00,100.00
DYNAMIC,4,242,258,250.00,6.32,96.80
DYNAMIC,8,121,131,125.00,2.92,96.80
DYNAMIC,12,80,97,83.33,4.61,96.00
DYNAMIC,16,55,74,62.50,4.64,88.00
GUIDED,1,1000,1000,1000.00,0.00,100.00
GUIDED,2,500,500,500.00,0.00,100.00
GUIDED,4,245,255,250.00,4.12,98.00
GUIDED,8,121,131,125.00,3.04,96.80
GUIDED,12,77,90,83.33,3.90,92.40
GUIDED,16,52,90,62.50,9.17,83.20
HETEROGENEOUS,1,1000,1000,1000.00,0.00,100.00
HETEROGENEOUS,2,500,500,500.00,0.00,100.00
HETEROGENEOUS,4,236,266,250.00,10.75,94.40
HETEROGENEOUS,8,119,130,125.00,3.54,95.20
HETEROGENEOUS,12,70,92,83.33,5.60,84.00
HETEROGENEOUS,16,54,76,62.50,4.94,86.40
=== TASK_LATENCY_HISTOGRAM ===
Bin_0_1ms,Bin_1_2ms,Bin_2_5ms,Bin_5_10ms,Bin_10_20ms,Bin_20_50ms,Bin_50_100ms,Bin_100pms
1000,0,0,0,0,0,0,0
